id,stable_height
95,5
706,2
2854,1
3093,5
4283,5
5449,1
5625,2
7860,2
8051,1
8812,3
10265,2
11329,2
11485,2
13901,3
15142,2
15176,4
15598,1
16132,2
16584,1
16840,2
16864,3
17375,3
17774,5
19140,6
19671,2
19834,2
19985,3
21275,1
21380,2
21728,1
23345,3
23418,3
24335,2
24604,5
26374,3
26566,4
27296,3
27572,4
27686,5
28146,1
28412,4
29213,6
29410,6
29443,4
29720,4
30147,3
30154,4
30813,2
30895,5
32835,1
33287,3
34108,2
34114,2
34252,4
34299,1
34477,4
34504,2
35120,3
36273,3
36647,3
36733,6
36818,4
37705,3
38348,6
38456,5
38463,4
39034,2
39083,3
39689,5
39736,2
39787,3
40053,6
40534,2
42846,3
43823,3
44092,2
44561,2
46366,1
47517,4
47714,1
48210,3
48662,1
48911,1
49738,4
50682,2
51047,5
51350,2
51358,2
51742,5
52173,6
52566,4
53571,2
53690,3
53776,2
54106,2
54175,3
54301,2
54722,3
54994,2
55065,2
55360,5
56121,2
57055,1
57233,5
57361,4
58573,2
58649,4
58971,4
59340,2
59595,4
59737,6
59816,2
61023,4
61254,2
61653,1
62582,3
62708,2
62948,4
63231,5
63533,1
64426,1
64510,5
64548,3
65240,3
65880,2
66512,4
67525,3
67803,4
68278,3
68332,4
68336,2
72268,2
73169,4
73291,6
73607,2
73682,2
74252,1
75673,6
76320,4
77121,5
77735,3
77856,2
78413,2
79194,2
79534,5
79542,1
79836,4
80405,2
81589,3
81667,4
81850,3
81990,4
82475,5
83152,4
83166,1
83743,2
85657,6
86855,4
88122,5
88459,4
88575,4
89578,6
89966,5
91735,2
91892,4
93230,2
93632,3
93803,1
94032,4
95115,6
96274,5
97119,4
97125,2
97450,5
97521,4
98063,2
98114,4
98444,3
99074,2
99081,5
99283,4
99787,3
100156,1
100357,5
100998,2
102119,2
102131,5
102213,3
103351,4
103671,2
104154,5
104298,2
104408,5
105572,2
105753,4
106117,2
106155,2
106207,2
106615,4
106839,1
107131,1
107154,1
108129,6
108162,3
108306,1
108313,5
109548,5
110737,1
111486,5
111571,5
111936,3
112148,2
112408,3
114074,2
114456,3
115147,5
116446,2
116758,3
117059,6
117554,4
117913,5
118233,2
118392,2
118644,6
119874,3
120797,2
121757,2
123349,2
123544,4
123994,5
125981,4
126835,6
127129,3
128888,4
129188,3
129287,2
129464,4
129853,3
129905,5
130200,4
130227,2
130325,4
130451,1
130956,2
131307,2
131690,5
131853,2
132664,1
132993,2
133736,2
133791,2
133859,1
134412,3
135144,2
137131,2
138612,1
138697,3
139770,4
140013,4
140787,1
142146,2
143614,1
143947,2
144874,2
145326,2
146340,1
146432,5
146463,4
