id,stable_height
95,1
706,1
2854,1
3093,4
4283,1
5449,1
5625,4
7860,1
8051,2
8812,2
10265,1
11329,3
11485,1
13901,3
15142,1
15176,1
15598,1
16132,3
16584,2
16840,1
16864,1
17375,1
17774,3
19140,1
19671,3
19834,1
19985,3
21275,3
21380,3
21728,1
23345,2
23418,2
24335,3
24604,3
26374,4
26566,1
27296,1
27572,3
27686,4
28146,1
28412,1
29213,4
29410,4
29443,3
29720,2
30147,1
30154,1
30813,2
30895,1
32835,2
33287,2
34108,1
34114,1
34252,2
34299,1
34477,3
34504,3
35120,2
36273,4
36647,2
36733,3
36818,1
37705,1
38348,1
38456,3
38463,2
39034,3
39083,2
39689,3
39736,1
39787,3
40053,3
40534,1
42846,3
43823,2
44092,1
44561,1
46366,1
47517,1
47714,1
48210,2
48662,1
48911,1
49738,2
50682,2
51047,2
51350,2
51358,3
51742,1
52173,4
52566,3
53571,1
53690,3
53776,3
54106,1
54175,3
54301,1
54722,2
54994,3
55065,2
55360,1
56121,2
57055,2
57233,1
57361,2
58573,1
58649,3
58971,1
59340,1
59595,2
59737,3
59816,3
61023,4
61254,1
61653,1
62582,4
62708,1
62948,2
63231,4
63533,1
64426,1
64510,3
64548,1
65240,3
65880,2
66512,3
67525,4
67803,3
68278,2
68332,2
68336,4
72268,1
73169,3
73291,1
73607,1
73682,1
74252,1
75673,4
76320,3
77121,1
77735,2
77856,2
78413,2
79194,2
79534,4
79542,1
79836,2
80405,2
81589,2
81667,3
81850,1
81990,4
82475,3
83152,1
83166,1
83743,2
85657,1
86855,1
88122,1
88459,4
88575,4
89578,1
89966,1
91735,1
91892,3
93230,3
93632,1
93803,3
94032,2
95115,1
96274,3
97119,1
97125,1
97450,3
97521,2
98063,1
98114,1
98444,2
99074,2
99081,3
99283,2
99787,1
100156,1
100357,1
100998,1
102119,1
102131,3
102213,3
103351,1
103671,2
104154,3
104298,4
104408,1
105572,2
105753,1
106117,1
106155,1
106207,3
106615,1
106839,1
107131,1
107154,1
108129,4
108162,1
108306,2
108313,4
109548,3
110737,2
111486,3
111571,1
111936,2
112148,3
112408,2
114074,1
114456,3
115147,1
116446,1
116758,1
117059,1
117554,3
117913,4
118233,1
118392,1
118644,1
119874,1
120797,3
121757,1
123349,3
123544,1
123994,1
125981,4
126835,2
127129,1
128888,3
129188,1
129287,2
129464,4
129853,2
129905,1
130200,1
130227,3
130325,1
130451,1
130956,2
131307,3
131690,1
131853,1
132664,1
132993,1
133736,1
133791,1
133859,2
134412,1
135144,1
137131,1
138612,2
138697,4
139770,2
140013,2
140787,1
142146,1
143614,1
143947,1
144874,1
145326,2
146340,1
146432,4
146463,1
147577,2
147836,1
148326,3
148338,4
148342,1
148680,2
149231,2
149364,4
149931,2
150322,2
152583,1
153062,3
153166,1
153485,3
153594,1
153750,1
153874,3
153991,3
154636,1
154783,1
156410,1
157695,2
159154,1
160186,2
160678,1
160767,1
160830,3
161233,3
161573,1
162816,3
162880,1
162955,2
163241,1
163678,2
163971,4
164394,1
166392,1
166440,1
166524,2
166951,4
167011,3
168218,2
168854,1
168964,2
168977,3
169539,3
169810,2
170088,3
170812,1
172079,1
172864,4
173421,3
173904,1
175611,4
175835,4
176261,2
176288,1
178697,1
178917,1
180650,2
180789,3
181460,1
183277,1
184804,1
185665,4
186121,1
187583,2
188235,2
188273,1
188693,1
189252,1
189455,2
189862,4
190413,1
190634,1
192273,4
192280,4
193309,4
193681,2
194172,1
194193,1
194759,2
194979,1
195221,1
196076,3
196703,2
196971,2
197275,2
197775,1
197965,1
198759,1
198897,2
201206,4
201852,1
202505,2
202553,4
204110,3
204709,2
204844,1
205035,1
206022,3
206418,1
207361,1
207717,2
208215,4
208356,4
208487,1
208661,2
209064,2
210092,1
210440,1
210928,3
211025,1
211455,1
211900,1
212838,2
213031,1
213324,1
213442,1
213706,1
215078,1
215174,3
215479,1
216439,2
218073,1
218252,1
218676,1
218778,1
218794,3
219106,2
220083,1
220655,2
221457,1
221825,3
222007,3
223728,4
223844,4
223959,1
224340,1
224410,3
225057,2
225294,1
225499,1
227053,4
227386,1
227765,4
228559,1
229160,4
229187,1
229955,1
230102,2
232815,1
232854,1
233633,1
234011,1
234222,1
234519,2
235368,2
237047,3
238507,1
238627,3
239039,3
239535,3
239782,2
240253,2
240723,2
241219,1
241409,1
241894,2
241957,3
242191,1
243322,3
244493,1
244965,3
246299,1
246400,1
246866,1
249064,4
249348,3
250208,1
250440,4
250605,1
250926,1
251617,2
251679,3
252051,2
252347,1
252511,1
254660,4
254905,1
254906,1
256185,2
257019,1
257319,1
257757,1
257869,1
258043,1
258090,1
258701,1
258928,1
259582,2
259963,1
260141,3
260613,1
262448,1
262663,2
262842,2
263087,1
264173,2
264469,1
264942,4
265630,2
265867,1
266195,1
267273,1
268004,1
269574,1
269635,1
271313,2
271432,4
272065,2
272335,3
272687,3
272836,1
273096,1
273104,3
273961,2
275254,3
275325,1
275591,1
275612,3
275844,3
276060,2
276340,3
276897,4
277119,1
277356,2
277451,1
277634,1
278427,4
278800,2
279176,2
279705,2
279716,3
280100,1
280928,1
282118,3
282224,1
282451,2
282612,3
282910,3
283019,1
284359,1
284799,1
284830,1
285000,3
285883,4
286236,2
286256,1
287072,3
288211,1
288481,2
288650,2
290154,4
291959,2
292213,4
292622,1
294648,1
295376,3
296504,2
297729,2
298110,4
298632,1
299928,1
301816,1
302399,3
303715,1
303965,1
304463,2
304706,2
304752,3
305216,1
307082,4
307227,1
307382,1
307915,2
308062,4
308175,2
308270,2
308602,2
308677,1
308763,1
309576,4
309948,3
309968,3
310453,3
310510,3
310803,1
311114,1
311559,3
312387,2
313613,2
313707,2
314206,1
315336,4
315576,1
315600,2
315694,2
316179,4
317338,4
317588,1
317615,1
317731,3
318493,1
318986,2
320203,3
320821,4
320905,1
321858,4
322277,3
322451,2
322668,1
324193,2
324563,1
326775,1
327400,3
327620,4
327685,3
328414,1
328448,1
329028,1
330160,1
330273,3
330693,2
330855,2
330988,1
331540,4
331817,4
333128,1
333228,2
333448,3
333562,1
334221,3
334231,3
334321,1
334368,2
334503,3
335068,3
335223,1
335492,3
336042,1
336322,2
336657,4
337579,4
337635,2
338141,1
338225,1
338331,3
338374,2
338375,4
339768,3
340958,4
341153,1
341615,2
341873,3
341913,2
343633,1
344270,1
344622,1
345411,1
347789,1
347801,3
348486,3
350736,1
351112,3
351140,4
351157,2
351787,3
351896,4
352361,1
353117,1
353146,2
354037,1
354772,3
354888,2
355514,2
355742,3
355968,1
356796,3
356944,1
357233,4
357438,1
357500,1
357714,1
357872,1
358254,3
358369,1
358807,1
358900,4
359883,3
360147,3
360911,2
361187,3
361384,3
361659,2
362030,1
362076,1
363227,1
363710,1
363825,1
363898,1
364241,3
364485,2
365107,1
365222,1
365763,4
367820,1
368168,3
368178,2
368540,1
368714,1
368819,3
369426,3
369792,3
370288,3
371343,2
371816,1
372063,4
372478,1
372811,2
372851,1
373017,2
373158,1
374993,2
375478,2
375793,3
376091,2
377430,1
377724,1
377747,1
377814,1
378537,1
379232,1
379301,2
379435,1
379447,2
379943,2
382162,1
382184,1
382987,2
384002,3
384745,2
384751,4
384905,3
384985,1
385213,3
385366,1
385368,2
385438,1
385657,3
388389,1
388449,1
389041,4
389525,1
390120,1
390544,3
390775,1
390956,1
391048,3
391155,1
391801,1
391966,1
392310,4
392728,3
393080,3
393434,1
393913,3
394070,1
394446,2
394725,3
394833,1
395043,2
395662,1
395985,2
396736,3
396771,1
397469,2
398232,2
400003,2
400126,1
400505,4
402037,1
403421,1
403442,2
403523,4
403793,1
404937,1
404972,1
405647,3
406307,1
406670,1
407441,1
407665,1
407794,1
407854,3
407872,1
408020,1
408082,1
408874,2
409472,1
410085,1
410461,2
411298,1
412602,1
412778,2
417074,1
417127,4
417973,1
418634,1
419393,3
420191,4
420367,1
420678,3
420798,4
421043,1
421056,2
422017,1
422452,4
422803,2
422937,2
423161,3
423494,1
423957,1
424357,4
424657,4
424781,1
425274,3
427653,1
427737,1
428122,1
428610,1
429161,4
429784,4
431546,3
431613,1
431768,4
432167,2
432339,1
432375,2
432571,1
432815,1
434202,1
435501,1
436225,1
436677,1
436976,3
437088,1
437939,2
437955,1
438042,4
438480,1
439391,1
440356,4
441164,2
441208,1
441397,1
442017,3
442521,2
443632,3
444096,3
444167,3
445154,1
446338,2
446448,1
447369,4
447846,1
447872,4
447874,1
447900,3
448162,1
448332,1
448464,2
449046,3
449241,3
449610,2
450953,4
451215,3
451864,1
451874,3
452164,3
452199,1
452576,1
453293,3
453912,1
454316,1
454485,2
454716,2
455282,3
455453,1
456195,1
456247,2
457020,2
457778,1
460380,4
460526,1
461318,1
461690,1
462044,1
462143,1
463086,4
463458,2
463857,1
463920,4
464157,1
465082,1
465280,1
465742,1
467243,2
468234,1
469276,4
469360,2
469408,3
469442,1
469554,3
469602,1
470321,3
470709,1
471322,1
471564,4
471826,1
472059,3
472249,1
472450,1
472537,2
472964,4
472996,3
473921,1
473977,2
474101,1
474994,2
475059,1
475122,1
475204,1
475496,2
476350,1
476667,1
477608,2
477630,3
478110,3
479130,3
479453,2
480514,1
480574,1
480790,3
481951,3
482677,3
483711,2
483811,4
484082,1
484377,2
484465,4
485015,3
485159,1
485725,1
486501,3
486687,3
486788,1
486881,4
487123,3
487389,2
487864,1
488384,1
488449,2
488663,3
488705,4
489775,4
489913,4
492543,3
492740,2
493323,2
494653,3
495802,1
497247,1
498043,3
498180,1
498644,2
498920,1
499850,1
500340,1
501121,2
501202,1
501918,2
502459,2
502778,2
504505,3
504562,1
504917,1
505018,3
505163,1
506147,1
506500,2
506700,2
507466,1
508834,3
510733,4
511409,2
512005,1
512271,1
512573,1
512808,1
513297,2
513496,1
513681,1
514670,3
514826,1
515413,1
516494,1
516822,2
518289,1
519370,2
519789,3
520897,1
521618,1
521781,1
522007,1
522158,4
522744,2
522960,4
523462,1
524062,3
524915,1
525774,2
525824,2
525903,1
526069,1
526098,1
526234,1
527750,3
531305,1
531876,1
531904,2
532172,2
533555,4
533767,4
533788,1
535177,3
537006,1
537600,1
538061,2
538065,1
538211,4
538403,1
538981,2
541198,3
542572,4
542953,2
543057,1
543243,3
544473,1
544597,1
545089,4
545138,2
545779,1
546824,1
547466,1
547626,3
547946,3
548012,1
548104,3
549431,2
549479,1
549564,2
550104,4
550953,2
551298,2
551320,4
551349,1
551780,2
552457,3
552623,1
553324,1
553448,1
554292,1
554539,1
554598,1
554882,1
555084,1
556589,3
557230,2
557657,2
557974,1
559469,2
561149,3
561717,4
561815,2
562807,3
563313,3
564154,2
564829,2
565090,2
565616,1
566813,1
567241,2
568157,3
568460,1
568789,1
568992,4
569100,1
569396,1
569738,1
569810,2
570015,3
570084,2
571234,4
571615,1
571981,1
572667,1
573337,3
573563,2
573770,3
574303,2
576814,1
577042,1
577054,2
577442,2
579967,4
580263,4
580312,3
580598,4
582364,3
583626,1
583712,3
584144,3
586221,2
586584,1
586934,1
587294,3
587672,2
588415,3
588924,3
590240,1
590802,2
591040,1
591563,1
592066,1
592608,1
593473,1
593587,3
595402,1
595637,2
596742,1
597727,4
598985,1
599801,1
600554,4
600818,2
601187,1
601919,1
602561,1
602998,1
603245,2
603807,1
605268,2
605637,4
606288,1
606494,2
606639,1
606942,2
607376,1
607511,1
607592,3
607820,4
608016,3
609071,3
609133,4
609154,1
609487,1
609813,3
612109,1
612196,2
613669,1
614201,1
614442,2
615027,2
615243,1
615656,2
616634,2
617597,1
617966,2
619673,3
620079,1
620549,1
620552,2
620921,3
620971,1
621089,3
621102,3
621144,2
622037,3
622126,2
622801,4
623622,4
624100,1
624197,2
624383,2
624970,2
625144,4
625472,1
625657,1
625908,2
626173,2
626286,2
626893,3
628823,3
628937,4
629195,1
629233,2
629458,4
629572,1
631226,3
631432,2
631833,1
632505,4
632622,3
633008,4
633773,1
634098,1
635332,1
638140,3
638975,1
639156,3
641350,1
642310,1
643189,4
643268,4
643317,2
644120,1
644535,3
644927,1
645080,4
645252,1
645721,2
645986,4
646599,1
647933,1
648180,4
649642,2
650155,1
650450,3
651042,1
651069,1
651349,4
651810,1
652117,1
652492,2
652526,1
652710,1
653300,1
654351,1
654542,1
654868,2
656040,1
656487,1
657124,1
657161,1
658555,1
658622,3
659032,2
659888,4
660114,3
661404,3
662149,4
662523,1
662807,2
663610,1
663625,1
664304,4
664378,1
665513,2
665749,3
665805,2
666141,4
666330,3
666360,1
667215,3
667842,1
668103,1
669253,1
670181,1
670477,1
670929,4
672218,1
672776,2
672819,1
672975,4
673148,4
674012,2
674491,2
675062,3
676124,1
676426,2
676552,2
676718,2
677118,3
677355,4
677406,2
680357,1
681047,1
681066,2
681140,2
681178,1
681203,1
681962,1
681969,2
682227,2
682500,2
683403,4
683436,3
683736,1
684781,2
685059,2
685496,1
686050,3
686077,1
686912,3
687314,3
687554,1
687844,2
687894,1
688020,3
688157,4
689530,1
690125,2
690319,3
690591,1
691067,4
691441,1
692103,1
692405,2
692608,1
692614,3
693244,4
694058,4
694249,2
694383,4
695306,2
695476,2
695706,1
698204,1
698421,1
698730,4
699252,2
699764,3
699994,1
700255,2
700399,1
700675,1
701660,1
702953,2
703427,4
703453,2
704433,1
704549,1
705466,1
706124,4
706394,2
706693,1
706708,1
706882,3
707279,4
708002,1
708528,2
709807,4
709891,1
709947,2
710195,1
710916,3
710996,1
711034,1
711462,1
712085,2
712498,2
712599,3
712768,3
712885,1
712969,2
714093,1
714174,1
714465,3
714633,4
715684,1
715695,1
715981,3
716499,3
716518,2
716804,3
716827,1
717088,4
717317,1
717514,1
717620,2
717917,1
718077,3
718197,4
718246,1
718412,1
718635,2
718936,4
718954,3
719120,4
720752,1
721239,1
722554,2
723052,4
723617,3
724266,1
725056,1
725496,1
726030,4
726825,1
728701,1
729078,1
729270,2
729636,3
729832,4
730709,3
730806,2
731892,3
732331,2
732567,3
732788,1
733065,2
734619,2
734872,2
735058,1
736249,2
737043,2
737620,3
737653,3
737948,2
737951,1
738033,1
738068,4
738455,1
738873,3
738880,1
739682,4
741295,2
742271,1
743581,1
743633,1
744780,1
745688,2
745747,1
746288,1
747252,1
747356,2
749279,1
750971,1
751804,4
752190,3
752404,2
752471,1
752571,2
753234,4
753504,1
753904,4
754936,1
755605,2
755927,1
755998,3
757401,1
757469,1
758126,1
758730,1
758962,1
759163,1
760107,3
761459,1
761601,3
761912,2
763110,2
763412,3
763661,1
763827,3
764210,4
764480,2
764625,1
765615,2
766138,3
767265,3
767439,3
767603,1
769093,4
769593,1
770247,3
770494,1
773358,3
773533,3
773758,4
773913,2
774146,2
775272,2
775780,1
776669,4
777246,1
777624,2
779357,3
779690,4
779864,2
780200,4
780267,2
780795,1
780797,3
782988,1
783280,1
783307,1
783649,1
783807,3
784915,3
785362,3
785542,3
785868,1
786092,1
787002,1
787083,2
787290,1
789039,2
790711,2
790984,4
791783,1
792323,1
792540,1
792620,3
792724,3
792820,1
793688,3
794035,1
794178,2
794231,1
794552,2
795555,1
795628,3
796451,3
797099,4
