id,stable_height
95,5
706,2
2854,1
3093,3
4283,2
5449,1
5625,2
7860,2
8051,1
8812,1
10265,1
11329,2
11485,1
13901,3
15142,3
15176,4
15598,1
16132,2
16584,2
16840,1
16864,3
17375,2
17774,5
19140,1
19671,2
19834,1
19985,3
21275,1
21380,2
21728,2
23345,3
23418,1
24335,1
24604,2
26374,3
26566,4
27296,1
27572,5
27686,5
28146,1
28412,1
29213,1
29410,5
29443,2
29720,3
30147,2
30154,1
30813,1
30895,4
32835,1
33287,3
34108,2
34114,2
34252,3
34299,1
34477,4
34504,2
35120,2
36273,3
36647,3
36733,6
36818,1
37705,2
38348,1
38456,5
38463,3
39034,2
39083,2
39689,3
39736,1
39787,2
40053,6
40534,2
42846,3
43823,3
44092,3
44561,2
46366,2
47517,3
47714,1
48210,2
48662,1
48911,1
49738,1
50682,1
51047,5
51350,2
51358,5
51742,5
52173,3
52566,3
53571,2
53690,2
53776,3
54106,1
54175,3
54301,2
54722,3
54994,2
55065,1
55360,4
56121,1
57055,1
57233,5
57361,2
58573,2
58649,3
58971,3
59340,2
59595,2
59737,5
59816,2
61023,4
61254,1
61653,1
62582,3
62708,2
62948,4
63231,4
63533,1
64426,1
64510,4
64548,3
65240,3
65880,2
66512,2
67525,3
67803,3
68278,3
68332,1
68336,6
72268,2
73169,3
73291,2
73607,2
73682,2
74252,1
75673,6
76320,2
77121,4
77735,3
77856,2
78413,2
79194,2
79534,5
79542,1
79836,3
80405,2
81589,2
81667,1
81850,1
81990,4
82475,4
83152,1
83166,1
83743,2
85657,4
86855,3
88122,2
88459,3
88575,1
89578,5
89966,3
91735,1
91892,2
93230,1
93632,3
93803,1
94032,1
95115,6
96274,5
97119,3
97125,1
97450,5
97521,1
98063,2
98114,4
98444,3
99074,2
99081,2
99283,1
99787,4
100156,1
100357,5
100998,1
102119,4
102131,6
102213,3
103351,3
103671,1
104154,6
104298,5
104408,5
105572,1
105753,3
106117,2
106155,2
106207,2
106615,4
106839,1
107131,1
107154,1
108129,5
108162,2
108306,1
108313,5
109548,3
110737,3
111486,1
111571,5
111936,3
112148,3
112408,2
114074,2
114456,2
115147,1
116446,2
116758,3
117059,6
117554,3
117913,2
118233,2
118392,2
118644,5
119874,3
120797,2
121757,2
123349,3
123544,4
123994,5
125981,3
126835,3
127129,3
128888,1
129188,1
129287,3
129464,3
129853,3
129905,1
130200,3
130227,1
130325,3
130451,1
130956,4
131307,1
131690,2
131853,3
132664,2
132993,1
133736,2
133791,2
133859,1
134412,3
135144,2
137131,3
138612,3
138697,2
139770,4
140013,3
140787,1
142146,2
143614,1
143947,2
144874,1
145326,2
146340,1
146432,1
146463,4
